"Timestamp","What is your gender?","What is your age? (Years)","What is your current year of study? ","Which is your school/Faculty?  ","Which course are you pursuing? ","What is your place of residence?","How far are you from campus? (Approximate KM)","How many times have you missed lectures","What was the possible reason for missing your lectures? (please tick all possible reasons)","If no, why do you think students miss lectures?","Are there some units you are likely to miss than others?","If yes, which kind of units?","If time is among the reason you can miss a lecture. Which part of the day are you likely to miss?","If mode of teaching can be the reason, which one is it?","Do you think introducing absenteeism policy will help?","What do you think can curb absenteeism?","What is your view about absenteeism?"
"2021/07/16 12:22:33 PM GMT+3","Male","28","Year 4","School of science","Applied statistics with computing","Non - Resident","1 - 2 KM","2","Time of the class;Weather condition","","Yes","Common Unit","Morning","","Agree","Good teacher student relationship","Its becoming rampant"
"2021/07/16 12:25:57 PM GMT+3","Male","24","Year 4","School of Science ","BSc. (Applied Statistics with Computing) ","Non - Resident","More than 3KM","0","","Due to distance to class, time of the lecture and mode of teaching ","Yes","Common Unit","Morning","Presence of handouts and soft copy notes ","Strongly Agree","",""
"2021/07/16 12:45:19 PM GMT+3","Male","24","Year 4","Science","Bsc Applied statistics ","Non - Resident","1-2","2","Distance to campus;Is it health problem","","Yes","Common Unit","Morning","","Neutral","Attendance of class awarding marks","It affects performance "
"2021/07/16 12:52:43 PM GMT+3","Male","24","Year 4","School of Science ","BSc. (Applied Statistics with Computing) ","Non - Resident","More than 2KM","0","","Distance covered, place of residence, schedule of the lecture, academic level ","Yes","Common Unit","Morning","Face to face teaching. ","Strongly Agree","Introducing absenteeism policy. ",""
"2021/07/16 1:04:40 PM GMT+3","Male","23","Year 4","Science","Applied Statistics with Computing","Non - Resident","More than 2KM","3","Time of the class","","Yes","Common Unit","Morning","","Agree","",""
"2021/07/16 1:04:51 PM GMT+3","Male","27","Year 4","Science","Applied statistics","Resident","Less than 1 KM","4","Weather condition","","Yes","Common Unit","Morning","","Strongly Disagree","More reasonable class time",""
"2021/07/16 1:06:06 PM GMT+3","Male","21","Year 4","School of science","Aplied statistics with computing","Non - Resident","1-2","Often","Time of the class","Laziness","Yes","Common Unit","Morning","Boring lecturer","Agree","Register marking","Laziness"
"2021/07/16 1:06:15 PM GMT+3","Male","22","Year 4","Science","Applied statistics","Non - Resident","More than 2KM","5","Is it health problem","","Yes","Common Unit","Evening","","Disagree","",""
"2021/07/16 1:07:04 PM GMT+3","Female","23","Year 4","Science","Applied Statistics with computing","Non - Resident","More than 2KM","10","Is it health problem","","Yes","Common Unit","Evening","","Disagree","",""
"2021/07/16 1:09:39 PM GMT+3","Male","22","Year 4","Science","Bachelor of science","Non - Resident","More than 2KM","12","Is it health problem","","No","","","","Neutral","
Rules and policy on risk  of absenteeism","Affect performance "
"2021/07/16 1:13:03 PM GMT+3","Male","23","Year 4","UOE","Applied statistics with computing","Non - Resident","Less than 1 KM","4","Weather condition","","Yes","Common Unit","Morning","","Strongly Agree","",""
"2021/07/16 1:14:47 PM GMT+3","Male","26","Year 4","Science","Applied Statistics with Computing","Non - Resident","Less than 1 KM","Once","Mode of teaching of the lecturer","","No","","Evening","Online teaching","Neutral","","Assignments"
"2021/07/16 1:17:30 PM GMT+3","Male","23","Year 4","Science","Applied Statistics with Computing","Non - Resident","More than 2KM","4","Weather condition","","Yes","Common Unit","Morning","Audibility of the lecturer","Agree","Policies to be implemented",""
"2021/07/16 1:42:24 PM GMT+3","Male","23","Year 4","Science","ACS","Non - Resident","1-2","5","Weather condition","","No","","Evening","","Agree","Adjust lecture hours","It's due to laziness"
"2021/07/16 2:04:59 PM GMT+3","Male","21","Year 2","School of science ","Applied statistics with computing ","Resident","More than 2KM","2","Is it health problem","Financial issues ","Yes","Related Unit","Evening","Online ","Neutral","Providing resistance ","Forced curcumstances"
"2021/07/16 2:17:04 PM GMT+3","Male","21","Year 3","Science","Applied statistics with computing","Non - Resident","1-2","4","Distance to campus;Time of the class;Mode of teaching of the lecturer;Weather condition","","Yes","Common Unit","Morning","","Neutral","",""
"2021/07/16 2:23:21 PM GMT+3","Female","21","Year 3","Economics","Economics","Non - Resident","1-2","3","Time of the class;Weather condition","Commitments elsewhere","Yes","Common Unit","Morning","","Strongly Agree","",""
"2021/07/16 3:15:38 PM GMT+3","Male","22","Year 4","Tom mboya University college","Bachelor of  education arts with iT","Non - Resident","1-2","1","Weather condition","Time of class","No","Common Unit","Morning","","Strongly Agree","Employment absenteeism policies ","For deduction of Marks on final examination "
"2021/07/16 3:18:54 PM GMT+3","Male","23","Year 3","School of science ","Applied statistics with computing ","Non - Resident","1-2","1","Weather condition","Bad weather ","Yes","Common Unit","Morning","Not the one","Strongly Disagree","Making a rule that no exam after missing class ","It is about laziness "
"2021/07/16 3:19:18 PM GMT+3","Female","21","Year 3","Science","Applied statistics with computing","Non - Resident","Less than 1 KM","I have never missed","","Distance ","Yes","Common Unit","Morning","","Neutral","Lecturers to be strict on attendance","Null"
"2021/07/16 3:20:28 PM GMT+3","Male","22","Year 4","BUSINESS","PPL","Resident","1-2","Severally","Mode of teaching of the lecturer","","Yes","Common Unit;Related Unit","Evening","","Neutral","Imrpvement in mode of teaching","Not commendable "
"2021/07/16 3:20:31 PM GMT+3","Male","23","Year 3","Science ","Applied statistics with computing","Non - Resident","More than 2KM","5","Time of the class","","Yes","Common Unit","Evening","","Neutral","Rescheduling of class time","Reason for absenteeism should be considered before taking action"
"2021/07/16 3:31:20 PM GMT+3","Female","22","Year 3","Sciences and aerospace studies","Bachelor of science","Non - Resident","Less than 1 KM","4 times","Is it health problem;Weather condition","Maybe one is not online and the lecture decides to fix a class","No","","Morning","Just lecturing without explaing complex points","Neutral","Classes to be in appropriate time","It makes one not to understand next lectures so we try as much not to miss lectures"
"2021/07/16 3:53:51 PM GMT+3","Female","19","Year 2","University of Eldoret","Applied statistics with computing","Non - Resident","1-2","Few","Weather condition","We're handling social life apart from the academic one. It's complicated and sometimes you gotta take a break to arrange some stuff. You can't read when your mind is somewhere else","Yes","Common Unit","Morning","Not applicable. Every lecturer teaches in her own way","Disagree","It can not be curved. A student will be absent whenever he or she wants to. No Policy can stop it.","Its normal but if done excessively it's Lethal"
"2021/07/16 4:05:39 PM GMT+3","Male","23","Year 4","School of science","IT","Resident","More than 2KM","Twice","Is it health problem","Personal reasons","No","","Morning","Dictation","Strongly Agree","Lectures taking attendance themselves","Complicated"
"2021/07/16 4:14:25 PM GMT+3","Male","24","Year 4","Business and Management Sciences ","Bachelor of Commerce ","Non - Resident","More than 2KM","Many","Distance to campus;Time of the class;Mode of teaching of the lecturer;Weather condition","","Yes","Common Unit","","Lectures reading pdf directly","Agree","Employ competent lectures ",""
"2021/07/16 4:16:59 PM GMT+3","Female","25","Year 4","School of business management","Bcom(accounting)","Non - Resident","1-2","Few","Time of the class;Mode of teaching of the lecturer","Some may have personal reasons","Yes","Common Unit","Morning","Lecture just reading notes(pdf),no explanations
Lecture not being loud enough,in case you are late and happen to settle on back seat,then you would be getting what is being said
","Neutral","It's a personal decision not to miss class","It affects performance "
"2021/07/16 4:19:18 PM GMT+3","Female","24","Year 3","Science","Biotechnology and biosafety","Non - Resident","More than 2KM","Countable","Distance to campus","N/A","Yes","Common Unit","Morning","","Disagree","A follow up on students by class representatives then sharing their issues to relevant schools","Should be avoided as much as possible especially where there is no valid reason for missing"
"2021/07/16 4:24:22 PM GMT+3","Female","21","Year 4","University of Eldoret","Business management","Non - Resident","More than 2KM","Few","Is it health problem","I don't know","Yes","Core Unit","Morning","","Strongly Disagree","Nothing","None"
"2021/07/16 4:25:13 PM GMT+3","Male","23","Year 3","School of science","Bsc.Biotechnology and biosafety","Non - Resident","More than 2KM","None but I really struggle to arrive","Distance to campus;Time of the class;Weather condition","","No","","Morning","","Strongly Disagree","Open all the gates B,C since the distance and weather are not favourable",""
"2021/07/16 4:26:34 PM GMT+3","Male","24","Year 4","Uoe","Project management ","Resident","1-2","Many","Time of the class;Weather condition","","Yes","Common Unit","Morning","","Agree","",""
"2021/07/16 4:36:39 PM GMT+3","Male","23 ","Year 4","School of Science","Bsc in Biotechnology and Biosafety","Non - Resident","More than 2KM","0","","Time of class and distance to campus","No","","Morning","","Neutral","Inclusivity in Absenteeism policy Making","It has negative impacts on the student's academic performance... Because The student will Struggle to catch up with the pace of the Lecturer and will even miss important concept unleashed by the Lecturer during class teaching"
"2021/07/16 4:50:40 PM GMT+3","Male","23","Year 3","University of eldoret","Bsc applied statistics ","Resident","1-2","Non","Distance to campus;Time of the class;Is it health problem;Weather condition","","Yes","Common Unit","Morning","","Agree","",""
"2021/07/16 4:58:44 PM GMT+3","Male","21","Year 1","University of Eldoret","Applied Statistics with Computing","Resident","1-2","Twice","Weather condition","","No","","Evening","","Strongly Agree","Strict policy ","Can be curtailed."
"2021/07/16 5:00:53 PM GMT+3","Female","23","Year 4","University of eldoret ","Finance and banking ","Non - Resident","Less than 1 KM","None","","health conditions","No","","","","Strongly Agree","Attendance sheets to be marked face to face",""
"2021/07/16 5:07:32 PM GMT+3","Female","22","Year 4","University of Eldoret","Education","Non - Resident","More than 2KM","3","Distance to campus;Time of the class;Mode of teaching of the lecturer;Weather condition","","Yes","Common Unit","Morning","","Strongly Disagree","",""
"2021/07/16 5:24:07 PM GMT+3","Male","22","Year 2","Natural resources management ","Forestry","Non - Resident","More than 2KM","Once","Is it health problem","","No","","Evening","","Agree","Stictness","Its rampard"
"2021/07/16 5:30:04 PM GMT+3","Male","22","Year 3","science","Applied statistics with computing","Non - Resident","1-2","10","Time of the class;Mode of teaching of the lecturer","","Yes","Core Unit","Morning","some lecturers don't teach in a way a person could understand","Disagree","rating of lecturers on mode of teaching which will ensure lecturer make sure students understand what they teach","it is the main reason for poor performance"
"2021/07/16 5:41:25 PM GMT+3","Female","21","Year 3","Science","Applied statistics with computing","Non - Resident","More than 2KM","2","Is it health problem","","No","","Morning","","Strongly Disagree","Increase strictness in class attendance by keenly following signatures to prevent students from signing to their fellows.",""
"2021/07/16 5:43:21 PM GMT+3","Female","21","Year 4","Agriculture and biotecnology","animal science","Non - Resident","More than 2KM","Twice","Is it health problem","Distance and timinfg","Yes","Common Unit","Morning","Inaudible lecturers","Neutral","It is not always a choice","its okay to take a break"
"2021/07/16 5:44:34 PM GMT+3","Male","23","Year 4","School of Business","Banking and Finance","Non - Resident","1-2","Very few lessons","Mode of teaching of the lecturer","Classes with large number of students ","Yes","Common Unit","Evening","Lecturers should actively engage students that way it will make teaching more interesting","Neutral","To bw honest encouragement and giving students more reasons to be in school , more academic programs , social activities ","It's not a good sign , coz most dreams are crushed due to absentism leading to bad grades and and negative thoughts"
"2021/07/16 5:50:00 PM GMT+3","Male","21","Year 1","School of science","AST","Non - Resident","1-2","Severally","Mode of teaching of the lecturer;Weather condition","","Yes","Core Unit","Evening","Whereby lecturer becomes pdf emiter","Neutral","Lecturers adjusting to reach understanding capability of students and not covering many topics per lesson","It all depends on the individual person, some are genuine others ain't"
"2021/07/16 5:54:26 PM GMT+3","Male","23","Year 4","School of education","Education Arts","Resident","1-2","10","","Irregular timetable fixtures,and untimely fixing of classes ","Yes","Common Unit","Morning","","Neutral","Having competent professionals who really know how to handle students and appropriately blend good methods of teaching.","It really affect one's performance academic-wise"
"2021/07/16 6:11:09 PM GMT+3","Female","19","Year 1","School of education","Education science","Non - Resident","More than 2KM","3","Time of the class","Weather","Yes","Common Unit","Morning","The number of students","Disagree","Reducing the number of students in each lecture","It is not good"
"2021/07/16 6:43:16 PM GMT+3","Male","25","Year 4","Education","Barchelor of education science","Non - Resident","1-2","About thrice","Time of the class;Is it health problem;Weather condition","Ignorance","Yes","Core Unit","Morning","Online learning","Neutral","Proper Time tabling","It is damaging as much as learning and academics depend on the presence of the teacher and learner in class"
"2021/07/16 7:37:48 PM GMT+3","Female","24","Year 3","Education","Agricultural education science","Non - Resident","Less than 1 KM","No unless the lecturer has not come","","Some miss because of ignorance","No","","Evening","Dictating only without explanation","Disagree","Adherence to the rules in that if someone misses lectures he/she will not do exams","It is a bad habit which must be felt with "
"2021/07/16 7:58:07 PM GMT+3","Male","23","Year 1","Science","Applied statistics with computing","Resident","More than 2KM","2","Weather condition","","Yes","Related Unit","Morning","","Neutral","",""
"2021/07/16 8:05:24 PM GMT+3","Male","20","Year 1","Uoe","Education","Resident","1-2","One","Weather condition","","No","","Morning","","Strongly Disagree","",""
"2021/07/16 8:08:14 PM GMT+3","Female","21","Year 1","School of Education","Bachelor of Education science","Non - Resident","1-2","Twice","Is it health problem","Because of the large population of the students in the given lecture ","Yes","Common Unit","Morning","","Neutral","Reducing the number of students in a lecture to for audibility of lecturer","It directly proportional to performance"
"2021/07/16 8:18:30 PM GMT+3","Male","21","Year 1","University of eldoret","Education science","Non - Resident","Less than 1 KM","Aquater of the total lectures","Time of the class","","No","","Morning","","Agree","Create online classes with provided data bundles by the institution for rarely attended classes especially morning classes",""
"2021/07/16 8:21:45 PM GMT+3","Male","19","Year 1","Business and management sciences","Bachelor of commerce ","Resident","Less than 1 KM","Once","Is it health problem","Sickness and sometimes distance from places of residence","No","","Evening","The way in which the lecturer is relating the course with real life situations","Strongly Agree","Provision of more hostels within the University ","Is not so much here in UoE"
"2021/07/16 8:30:34 PM GMT+3","Male","19","Year 1","School of Science","Applied Statistics &  Computing","Resident","Less than 1 KM","Few times","Time of the class;Is it health problem;Weather condition","Yes","Yes","Common Unit","Evening","No clarification of content by lecturer","Disagree","Equal participation of classes","N/A"
"2021/07/16 8:39:41 PM GMT+3","Male","22","Year 1","Education","Education science","Non - Resident","More than 2KM","N/A","","There is no fixed timetable to follow","Yes","Core Unit","","","Neutral","Institution to come up with a fixed semister timetable(TT)","Should be taken with alot of concern"
"2021/07/16 8:42:14 PM GMT+3","Male","20","Year 1","School of science","Bachelor of science in Biochemistry","Resident","Less than 1 KM","Once","Time of the class","Miscommunication about lecture venues ,inadequate classes and space to read. ","No","","","","Strongly Agree","Introduction of a better mode of marking class attendance ,,where the university can introvant a machine which takes fingerprint and verifies ur attendance on the university portal. ","Scholars must work hard  to do away with absenteeism"
"2021/07/16 8:50:16 PM GMT+3","Male","19","Year 1","University of eldoret","Bacheloes degree in education science","Resident","Less than 1 KM","4","Weather condition","","No","","Morning","","Strongly Agree","Small classes and fixed timetables of classes",""
"2021/07/16 9:05:28 PM GMT+3","Female","18","Year 1","Science","Bsc Information technology","Non - Resident","Less than 1 KM","3","Time of the class;Weather condition","","No","","Evening","","Neutral","Time schedules maybe","It's normal but shouldn't be done alot"
"2021/07/16 9:06:54 PM GMT+3","Male","20","Year 1","University of eldoret","Applied statistics","Resident","More than 2KM","Many","Is it health problem","Hunger","Yes","Common Unit","","","Agree","Funding the students",""
"2021/07/16 9:07:34 PM GMT+3","Female","23","Year 4","University of eldoret ","Wood science and industrial processes ","Non - Resident","Less than 1 KM","Thrice per semester ","Mode of teaching of the lecturer","","Yes","Common Unit","Evening","","Disagree","",""
"2021/07/16 9:13:46 PM GMT+3","Male","21","Year 2","Science","Actuarial science","Non - Resident","1-2","Less than 10","Weather condition","","Yes","Common Unit","Morning","","Disagree","Introduction of biometric attendance","Leads to insufficient understanding of the units"
"2021/07/16 9:17:01 PM GMT+3","Female","18","Year 1","Science","AST","Non - Resident","1-2","None","","Early lecture lessons and late lecture lessons","No","","Morning","","Disagree","Removing early lectures and late lectures","Limits student's understanding to his or her studies"
"2021/07/16 9:31:43 PM GMT+3","Female","19","Year 4","University of Eldoret","Agricultural Education","Non - Resident","More than 2KM","5","Mode of teaching of the lecturer","","Yes","Common Unit","Evening","","Agree","",""
"2021/07/16 9:44:57 PM GMT+3","Male","20","Year 3","University of Eldoret","Applied statistics with computing","Non - Resident","1-2","3","Weather condition","Distance and weather conditions","Yes","Core Unit","Morning","Teaching when it is raining","Neutral","Personal set up","Absenteeism will lead one to fail get information from lecturer "
"2021/07/16 9:51:45 PM GMT+3","Male","24","Year 4","Education","Education science","Non - Resident","More than 2KM","4","Weather condition","","Yes","Common Unit","Evening","","Neutral","Free meals","None if  your damn business"
"2021/07/16 9:52:55 PM GMT+3","Male","24","Year 4","Education","Education science","Non - Resident","More than 2KM","More than 5 times","Distance to campus;Mode of teaching of the lecturer;Weather condition","","Yes","Common Unit","Morning","Reading notes to students directly without explanations","Agree","Through enacting friendly policies","It's not good because it makes one miss important staffs but some Circumstances missing is the only option"
"2021/07/16 9:58:39 PM GMT+3","Male","20","Year 1","Education","Bachelor of education science","Resident","Less than 1 KM","Once","Time of the class;Mode of teaching of the lecturer;Weather condition","Some are faced with many difficulties eg hunger","No","","Evening","The lecturer does not explain the content fully","Strongly Agree","Providing guidance to students on the importance of attending all lectures","Absenteeism leads to poor performance of a student"
"2021/07/16 11:36:25 PM GMT+3","Male","25","Year 4","Education ","Eds","Non - Resident","Less than 1 KM","Once","Mode of teaching of the lecturer","Weather conditions. ","Yes","Common Unit","Evening","Reading  notes. ","Neutral","Introduce a machine  to take fingerprints so as to monitor  attendance ","Should be done away with. "
"2021/07/16 11:45:22 PM GMT+3","Male","23","Year 4","Science","BSC. Applied statistics with computing","Non - Resident","1-2","5","Distance to campus;Time of the class;Mode of teaching of the lecturer;Is it health problem;Weather condition","","Yes","Common Unit","Morning","Reading from PDF notes","Neutral","Proper planning of lectures","It's mainly caused by stress and lack of funds to students"
"2021/07/17 6:20:55 AM GMT+3","Male","21","Year 2","School of science ","Bsc in Applied Statistics with computing ","Resident","Less than 1 KM","Less than 10 times ","Weather condition","","Yes","Common Unit","","","Strongly Disagree","",""
"2021/07/17 6:54:20 AM GMT+3","Male","22","Year 4","Economic","Economic","Resident","1-2","3","Weather condition","","Yes","Common Unit","","","Agree","Yes","It's lower student's performance "
"2021/07/17 7:09:25 AM GMT+3","Male","24","Year 4","School of Economics","BA. Economics","Non - Resident","Less than 1 KM","3","Time of the class;Is it health problem","","Yes","Common Unit","Mid-Morning","","Neutral","Adjustment on time","It's a waste of time"
"2021/07/17 7:16:37 AM GMT+3","Female","24","Year 3","University of Eldoret ","Education ","Non - Resident","Less than 1 KM","10 ","Weather condition","","Yes","Common Unit","Evening","Discussion ","Strongly Agree","","It's normal at times to miss lessons, "
"2021/07/17 8:12:49 AM GMT+3","Male","24","Year 4","Economics","Economics","Non - Resident","1-2","Many","Time of the class;Mode of teaching of the lecturer;Is it health problem","","Yes","Related Unit","Morning","Lack of content","Strongly Agree","Classes should be at certain time i.e not too early or too late","It should be considered"
"2021/07/17 8:45:10 AM GMT+3","Female","22","Year 4","University of Eldoret ","Economics ","Non - Resident","Less than 1 KM","Multiple","Mode of teaching of the lecturer;Weather condition","","Yes","Related Unit","Evening","Not teaching properly ","Neutral","",""
"2021/07/17 10:34:29 AM GMT+3","Female","22","Year 4","Economics ","B A Economics ","Non - Resident","1-2","2 in a week","Time of the class;Mode of teaching of the lecturer;Weather condition","Sometimes they are hungry. You can't concentrate on an empty stomach ","Yes","Common Unit","Morning","A lecturer who is just appearing for formality","Neutral","Enhance ""be your brother's keeper"" in school. Comrades are dying of depression alone. ","Sometimes it's justiable, but too much of it forces a student to lose focus. At the end, it's the student that loses not the lec"
"2021/07/17 12:53:45 PM GMT+3","Female","18","Year 1","School of science","Applied statistics","Non - Resident","1-2","1","Time of the class","Lack of proper communication on exact time of make up classes","Yes","Common Unit","Evening","","Disagree","Construction of enough hostels to accomodate many students within the school premises","Its not right to miss classes without a good reason"
"2021/07/17 1:09:09 PM GMT+3","Male","21","Year 4","Science","Bachelor of science","Resident","More than 2KM","5","Distance to campus","","No","","Morning","","Disagree","Time of class",""
"2021/07/17 1:42:41 PM GMT+3","Male","23","Year 4","Agriculture & biotechnology","Agricultural biotechnology","Non - Resident","1-2","4","Time of the class;Weather condition","","No","","Morning","","Disagree","",""
"2021/07/17 1:45:33 PM GMT+3","Male","22","Year 2","School of science","Applied statistics with computing","Non - Resident","More than 2KM","2","Mode of teaching of the lecturer","Mode if teaching","Yes","Core Unit","Evening","Lecturing and tutoring","Strongly Disagree","Meeting needs of the students academically. Their academic expectation. ","Its not good. Its a bad habit"
"2021/07/17 3:34:24 PM GMT+3","Female","19","Year 2","University of Eldoret ","Statistics ","Resident","Less than 1 KM","Many times ","Is it health problem;Weather condition","","Yes","Common Unit","Morning","","Neutral","",""
"2021/07/17 3:38:21 PM GMT+3","Male","23","Year 5","Engineering ","Structural and civil engineering ","Non - Resident","More than 2KM","3","Weather condition","Laziness ","Yes","Common Unit","Evening","No notes being  given by some lectures ","Agree","Late evening classes should be abolished ","Students are mature enough to know what is good and bad"
"2021/07/17 3:50:27 PM GMT+3","Male","23","Year 4","Education ","Bachelor of education science ","Non - Resident","Less than 1 KM","Once ","Is it health problem","","No","","Morning","Use of continual projector with less explanation by lecturers ","Agree","Making learning friendly ","Students absenteeism sometimes is as a result of Some factors like health and personal issues, so having accountability forms can really help in understanding the reasons "
"2021/07/17 4:43:42 PM GMT+3","Female","20","Year 1","School of education","Bachelor in education science","Resident","1-2","None","","bad weather condition","No","","Evening","","Neutral","",""
"2021/07/17 5:32:53 PM GMT+3","Male","25","Year 4","Agriculture Biotechnology ","Bachelor of science ( Agriculture)","Resident","1-2","4","Distance to campus;Time of the class;Weather condition","N/A","Yes","Common Unit","Morning","N/A","Agree","",""
